Path,      Total Latency (s),    Total Noise Power (W)  ,  SNR (dB)  
D->C->A->E->B->F,0.014978139978929128,2.993555600367488e-06,25.23812671138291
D->C->A->E->F,0.012874766063377747,2.5731718428766655e-06,25.895312095451793
D->C->A->B->E->F,0.020502763554228903,4.0977159211433995e-06,23.874581528543615
D->C->A->B->F,0.013404506146794344,2.679046564015724e-06,25.720197379336568
D->F,0.0035191782948102387,7.033487407609402e-07,31.528292857430603
D->B->A->E->F,0.014013008077798903,2.8006627570781265e-06,25.527391837711697
D->B->C->A->E->F,0.01613057161497849,3.223882475599621e-06,24.916207984826045
D->B->E->F,0.01257395521335954,2.5130512934633143e-06,25.997986470060184
D->B->F,0.005475697805924979,1.0943819363356378e-06,29.608310839486105
E->A,0.0015063433482870752,3.010602499832883e-07,35.21346582091106
E->B->A,0.009134340839138232,1.8256043282500225e-06,27.385933432737612
E->B->D->A,0.012948702755175234,2.587948951256904e-06,25.870442946208385
E->B->D->C->A,0.01683776430157181,3.3652231647952447e-06,24.729861302437314
E->B->C->D->A,0.0134469843157821,2.687536320477176e-06,25.70645657801462
E->B->C->A,0.01125190437631782,2.2488240467715176e-06,26.48044523446355
E->B->F->D->A,0.013101913379055717,2.6185698776067997e-06,25.819358322822126
E->B->F->D->C->A,0.016990974925452294,3.3958440911451405e-06,24.69052257152958
E->F->B->A,0.009140697058582075,1.8268746926837937e-06,27.382912403553444
E->F->B->D->A,0.012955058974619075,2.589219315690675e-06,25.86831161785969
E->F->B->D->C->A,0.01684412052101565,3.3664935292290153e-06,24.728222159570137
E->F->B->C->D->A,0.013453340535225941,2.688806684910947e-06,25.704404207943334
E->F->B->C->A,0.011258260595761661,2.2500944112052886e-06,26.4779925904185
E->F->D->A,0.010998539463504334,2.198186120115977e-06,26.57935538701759
E->F->D->C->B->A,0.016524124584928933,3.302538617076051e-06,24.81152095413668
E->F->D->C->A,0.01488760100990091,2.9754603336543174e-06,25.264458350109745
E->F->D->B->A,0.01602584302432207,3.202951247855778e-06,24.944496716853358
E->F->D->B->C->A,0.018143406561501655,3.6261709663772727e-06,24.405517236812567
E->A->C->B,0.008157432063111923,1.6303577394455565e-06,27.877170905527286
